0:25:35 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:38 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:41 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:45 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:48 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:51 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:54 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:57 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:00 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:04 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:07 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:10 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:13 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:16 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:19 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:22 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:26 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:29 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:32 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:35 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:38 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:26:41 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
